iter	Passed	Remaining
443	1144	1432
444	1145	1428
445	1147	1424
446	1148	1420
447	1150	1416
448	1151	1413
449	1152	1408
450	1153	1404
451	1155	1400
452	1156	1396
453	1158	1392
454	1159	1389
455	1161	1385
456	1162	1381
457	1163	1376
458	1165	1373
459	1166	1369
460	1168	1365
461	1169	1362
462	1171	1358
463	1172	1354
464	1174	1350
465	1175	1346
466	1176	1342
467	1178	1339
468	1179	1335
469	1181	1332
470	1182	1328
471	1184	1324
472	1186	1321
473	1188	1318
474	1191	1316
475	1193	1313
476	1195	1310
477	1197	1307
478	1198	1303
479	1200	1300
480	1202	1296
481	1203	1293
482	1205	1290
483	1206	1286
484	1207	1282
485	1209	1279
486	1211	1275
487	1213	1272
488	1215	1269
489	1216	1266
490	1223	1268
491	1225	1265
492	1229	1264
493	1231	1261
494	1232	1257
495	1234	1254
496	1236	1251
497	1237	1247
498	1239	1244
499	1240	1240
500	1243	1238
501	1244	1234
502	1246	1231
503	1248	1228
504	1250	1225
505	1251	1222
506	1253	1219
507	1255	1215
508	1257	1212
509	1259	1209
510	1260	1206
511	1262	1203
512	1264	1200
513	1265	1196
514	1268	1194
515	1269	1191
516	1271	1187
517	1272	1184
518	1274	1181
519	1276	1177
520	1277	1174
521	1279	1171
522	1280	1168
523	1282	1164
524	1284	1161
525	1287	1160
526	1291	1159
527	1293	1156
528	1295	1153
529	1297	1150
530	1298	1147
531	1300	1144
532	1301	1140
533	1303	1137
534	1305	1134
535	1306	1131
536	1308	1128
537	1310	1125
538	1312	1122
539	1313	1119
540	1316	1116
541	1318	1114
542	1320	1111
543	1321	1107
544	1323	1104
545	1325	1102
546	1327	1099
547	1328	1095
548	1330	1092
549	1331	1089
550	1333	1086
551	1334	1083
552	1336	1080
553	1338	1077
554	1339	1074
555	1342	1072
556	1344	1069
557	1347	1067
558	1349	1064
559	1350	1061
560	1352	1058
561	1354	1055
562	1355	1052
563	1357	1049
564	1358	1046
565	1360	1042
566	1361	1039
567	1363	1036
568	1364	1033
569	1365	1030
570	1368	1027
571	1369	1024
572	1371	1022
573	1374	1019
574	1377	1017
575	1380	1016
576	1385	1015
577	1387	1012
578	1389	1010
579	1391	1007
580	1394	1005
581	1397	1003
582	1400	1001
583	1402	998
584	1406	997
585	1408	995
586	1412	993
587	1414	991
588	1418	989
589	1420	986
590	1421	983
591	1425	982
592	1426	979
593	1429	976
594	1433	975
595	1435	972
596	1438	970
597	1442	969
598	1444	966
599	1445	963
600	1447	961
601	1450	958
602	1453	956
603	1454	953
604	1456	950
605	1457	947
606	1460	945
607	1461	942
608	1463	939
609	1465	936
610	1467	934
611	1469	931
612	1471	928
613	1473	926
614	1475	923
615	1476	920
616	1478	917
617	1479	914
618	1481	911
619	1483	909
620	1485	906
621	1488	904
622	1490	902
623	1493	899
624	1494	896
625	1496	894
626	1497	891
627	1499	888
628	1500	885
629	1502	882
630	1504	879
631	1505	876
632	1507	873
633	1509	871
634	1510	868
635	1511	865
636	1513	862
637	1515	859
638	1517	857
639	1521	856
640	1523	853
641	1524	850
642	1526	847
643	1527	844
644	1529	841
645	1530	838
646	1531	835
647	1533	833
648	1534	830
649	1536	827
